--- 34.8449997902 seconds ---
         607151 function calls (607132 primitive calls) in 0.208 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      504    0.069    0.000    0.069    0.000 {method 'readlines' of 'file' objects}
   289021    0.047    0.000    0.047    0.000 {method 'lower' of 'str' objects}
      504    0.030    0.000    0.030    0.000 {open}
   289021    0.029    0.000    0.029    0.000 {method 'rstrip' of 'str' objects}
     8784    0.005    0.000    0.016    0.000 D:/M.Tech work/proper/fgm.py:27(find_matches)
      133    0.000    0.000    0.011    0.000 C:\Anaconda\lib\re.py:164(split)
      133    0.010    0.000    0.010    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
        2    0.001    0.000    0.009    0.004 C:\Anaconda\lib\os.py:209(walk)
     1000    0.002    0.000    0.006    0.000 C:\Anaconda\lib\ntpath.py:62(join)
      500    0.005    0.000    0.005    0.000 {nt._isdir}
     2000    0.003    0.000    0.004    0.000 C:\Anaconda\lib\ntpath.py:95(splitdrive)
     9747    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
        1    0.001    0.001    0.001    0.001 {nt.listdir}
      133    0.001    0.000    0.001    0.000 C:\Anaconda\lib\re.py:226(_compile)
     2000    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      111    0.001    0.000    0.001    0.000 {sorted}
        2    0.000    0.000    0.001    0.000 C:\Anaconda\lib\site-packages\IPython\kernel\zmq\iostream.py:196(write)
        1    0.000    0.000    0.000    0.000 C:\Anaconda\lib\site-packages\IPython\kernel\zmq\iostream.py:140(flush)
      133    0.000    0.000    0.000    0.000 {filter}
        1    0.000    0.000    0.000    0.000 C:\Anaconda\lib\sre_compile.py:493(compile)
        1    0.000    0.000    0.000    0.000 C:\Anaconda\lib\site-packages\IPython\kernel\zmq\session.py:583(send)
2250/2249    0.000    0.000    0.000    0.000 {len}
        1    0.000    0.000    0.000    0.000 C:\Anaconda\lib\sre_compile.py:478(_code)
        1    0.000    0.000    0.000    0.000 C:\Anaconda\lib\sre_parse.py:677(parse)
      3/1    0.000    0.000    0.000    0.000 C:\Anaconda\lib\sre_parse.py:301(_parse_sub)
      9/1    0.000    0.000    0.000    0.000 C:\Anaconda\lib\sre_compile.py:32(_compile)
        1    0.000    0.000    0.000    0.000 C:\Anaconda\lib\site-packages\IPython\kernel\zmq\session.py:524(serialize)
      137    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      8/6    0.000    0.000    0.000    0.000 C:\Anaconda\lib\sre_parse.py:379(_parse)
        1    0.000    0.000    0.000    0.000 C:\Anaconda\lib\site-packages\IPython\kernel\zmq\session.py:490(msg)
        1    0.000    0.000    0.000    0.000 C:\Anaconda\lib\site-packages\zmq\sugar\socket.py:232(send_multipart)
        6    0.000    0.000    0.000    0.000 C:\Anaconda\lib\sre_compile.py:178(_compile_charset)
        4    0.000    0.000    0.000    0.000 C:\Anaconda\lib\site-packages\IPython\kernel\zmq\session.py:92(<lambda>)
        7    0.000    0.000    0.000    0.000 {method 'send' of 'zmq.backend.cython.socket.Socket' objects}
        4    0.000    0.000    0.000    0.000 C:\Anaconda\lib\site-packages\zmq\utils\jsonapi.py:31(dumps)
      617    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
